Country	Cases	Deaths	Recovered	Active	Cases/1M	Deaths/1M	Tests	Tests/1M 	Population	Continent
France 	40138560	167642	39970918	0	612013	2556	271490188	4139547	65584518	Europe
Germany 	38828995	183027	38240600	405368	462891	2182	122332384	1458359	83883596	Europe
Italy 	26723249	196487	26361218	165544	443445	3261	281126449	4665010	60262770	Europe
UK 	24910387	232112	24678275	0	363666	3389	522526476	7628357	68497907	Europe
Russia 	24124215	402756	23545818	175641	165454	2762	273400000	1875095	145805947	Europe
Spain 	13914811	121760	13762417	30634	297840	2606	471036328	10082298	46719142	Europe
Netherlands 	8635786	22992	8612599	195	501747	1336	25984435	1509718	17211447	Europe
Poland 	6661991	120598	N/A 	N/A 	176524	3196	39323709	1041970	37739785	Europe
Greece 	6101379	37869	N/A 	N/A 	591412	3671	102228365	9909078	10316637	Europe
Austria 	6081287	22542	6054934	3811	670727	2486	211273524	23302116	9066710	Europe
Portugal 	5643062	28126	5614809	127	556484	2774	46139518	4549993	10140570	Europe
Ukraine 	5557995	112418	5445577	0	128681	2603	32603805	754855	43192122	Europe
Belgium 	4861695	34376	4826798	521	416659	2946	37454182	3209915	11668278	Europe
Czechia 	4759041	43517	4715206	318	443246	4053	57834241	5386552	10736784	Europe
Switzerland 	4453053	14452	4438309	292	507549	1647	23833472	2716487	8773637	Europe
Romania 	3529735	68929	3460149	657	185470	3622	28758667	1511122	19031335	Europe
Denmark 	3183756	8814	3174942	0	545636	1511	129333107	22165247	5834950	Europe
Sweden 	2754129	27407	2726492	230	269511	2682	19500873	1908301	10218971	Europe
Serbia 	2615054	18057	2596608	389	302213	2087	13463733	1555958	8653016	Europe
Hungary 	2230232	49048	2152155	29029	232164	5106	11394556	1186160	9606259	Europe
Slovakia 	1877605	21224	1856381	0	343872	3887	7448789	1364199	5460193	Europe
Ireland 	1734582	9491	1724921	170	345521	1891	13083449	2606161	5020199	Europe
Finland 	1516117	11958	1503989	170	272930	2153	12108977	2179850	5554960	Europe
Norway 	1509732	6638	1503094	0	273930	1204	11002430	1996315	5511370	Europe
Lithuania 	1397806	9897	1387478	431	525154	3718	10540357	3959997	2661708	Europe
Slovenia 	1356546	7100	1349424	22	652803	3417	2847701	1370382	2078034	Europe
Bulgaria 	1339851	38748	1292944	8159	195753	5661	11671043	1705147	6844597	Europe
Croatia 	1309728	18687	1258432	32609	322650	4604	5660084	1394355	4059286	Europe
Belarus 	994037	7118	985592	1327	105381	755	13646641	1446722	9432800	Europe
Latvia 	982505	6715	971406	4384	531418	3632	7885792	4265272	1848837	Europe
Moldova 	635145	12218	N/A 	N/A 	158265	3044	3216305	801437	4013171	Europe
Estonia 	628070	3001	N/A 	N/A 	475123	2270	6968103	5271239	1321910	Europe
Bosnia and Herzegovina 	403615	16388	379084	8143	124215	5044	1884721	580036	3249317	Europe
Luxembourg 	391232	1232	N/A 	N/A 	609044	1918	4587145	7140959	642371	Europe
North Macedonia 	350567	9976	337068	3523	168436	4793	2226216	1069626	2081304	Europe
Albania 	334863	3605	330233	1025	116825	1258	1941032	677173	2866374	Europe
Montenegro 	296542	2846	291794	1902	472238	4532	2769281	4410034	627950	Europe
Iceland 	209906	229	N/A 	N/A 	607731	663	1996384	5780036	345393	Europe
Malta 	121420	885	120149	386	273448	1993	2170600	4888375	444033	Europe
Channel Islands 	101717	228	101321	168	576421	1292	1252808	7099551	176463	Europe
Andorra 	48015	165	N/A 	N/A 	619844	2130	249838	3225256	77463	Europe
Isle of Man 	38008	116	N/A 	N/A 	443335	1353	150753	1758422	85732	Europe
